,dataset1,dataset2,avg
rte_cola=_SUM,0.527075812,0.710450623,0.618763218
sst2_cola=_SUM,0.493119266,0.745925216,0.619522241
sst2_rte=_SUM,0.537844037,0.657039711,0.597441874
cola_rte=_SUM,0.691275168,0.527075812,0.60917549
cola_sst2=_SUM,0.691275168,0.696100917,0.693688043
rte_sst2=_SUM,0.530685921,0.769495413,0.650090667
tot_Avg__SUM,0.631446922,,
rte_cola=_TIES,0.527075812,0.793863854,0.660469833
sst2_cola=_TIES,0.495412844,0.7957814,0.645597122
sst2_rte=_TIES,0.831422018,0.527075812,0.679248915
cola_rte=_TIES,0.691275168,0.685920578,0.688597873
cola_sst2=_TIES,0.691275168,0.919724771,0.805499969
rte_sst2=_TIES,0.527075812,0.892201835,0.709638824
tot_Avg__TIES,0.698175423,,
